Município ;Código na SEF-MG;Código TOM-SERPRO
NOVA GRANADA;332;6761
NOVA GUATAPORANGA;333;6763
NOVA INDEPENDENCIA;334;6765
NOVA LUZITANIA;335;6767
NOVA ODESSA;336;6769
NOVAIS;615;2979
NOVO HORIZONTE;337;6771
NUPORANGA;338;6773
OCAUCU;339;6775
OLEO;340;6777
OLIMPIA;341;6779
ONDA VERDE;342;6781
ORIENTE;343;6783
ORINDIUVA;344;6785
ORLANDIA;345;6787
OSASCO;346;6789
OSCAR BRESSANE;347;6791
OSVALDO CRUZ;348;6793
OURINHOS;349;6795
OURO VERDE;350;6797
OUROESTE;644;808
PACAEMBU;351;6799
PALESTINA;352;6801
PALMARES PAULISTA;353;6803
PALMEIRA D'OESTE;354;6805
PALMITAL;355;6807
PANORAMA;356;6809
PARAGUACU PAULISTA;357;6811
PARAIBUNA;358;6813
PARAISO;359;6815
PARANAPANEMA;360;6817
PARANAPUA;361;6819
PARAPUA;362;6821
PARDINHO;363;6823
PARIQUERA-ACU;364;6825
PARISI;616;2989
PATROCINIO PAULISTA;365;6827
PAULICEIA;366;6829
PAULINIA;367;6831
PAULISTANIA;645;810
PAULO DE FARIA;368;6833
PEDERNEIRAS;369;6835
PEDRA BELA;370;6837
PEDRANOPOLIS;371;6839
PEDREGULHO;372;6841
PEDREIRA;373;6843
PEDRINHAS PAULISTA;617;2963
PEDRO DE TOLEDO;374;6845
PENAPOLIS;375;6847
PEREIRA BARRETO;376;6849
PEREIRAS;377;6851
PERUIBE;378;6853
PIACATU;379;6855
PIEDADE;380;6857
PILAR DO SUL;381;6859
PINDAMONHANGABA;382;6861
PINDORAMA;383;6863
PINHALZINHO;384;6867
PIQUEROBI;385;6869
PIQUETE;386;6871
PIRACAIA;387;6873
PIRACICABA;388;6875
PIRAJU;390;6877
PIRAJUI;391;6879
PIRANGI;392;6881
PIRAPORA DO BOM JESUS;393;6883
PIRAPOZINHO;394;6885
PIRASSUNUNGA;389;6887
PIRATININGA;395;6889
PITANGUEIRAS;396;6891
PLANALTO;397;6893
PLATINA;398;6895
POA;399;6897
POLONI;400;6899
POMPEIA;401;6901
PONGAI;402;6903
PONTAL;403;6905
PONTALINDA;618;2987
PONTES GESTAL;404;6907
POPULINA;405;6909
PORANGABA;406;6911
PORTO FELIZ;407;6913
PORTO FERREIRA;408;6915
POTIM;619;2993
POTIRENDABA;409;6917
PRACINHA;620;812
PRADOPOLIS;410;6919
PRAIA GRANDE;411;6921
PRATANIA;621;814
PRESIDENTE ALVES;412;6923
